Code,Short,Name (Eng),Name (Chi),Principal Office,Place Incorporated,Principal Activities,Industry Classification,Currency,Issued Shares,Authorised Shares,Par Value,Board Lot,Listing Date,Remark
01041,CH NEW ENGY-NEW,China New Energy Power Group Ltd.,中國新能源動力集團有限公司,"Room 204-205, 2/FOfficePlus @ Sheung WanNo. 93-103 Wing Lok StreetSheung Wan, Hong Kong",Bermuda,Development of property and investment in securities.,Properties & Construction - Properties - Property Development (HSIC*),HKD,"697,434,650","20,000,000,000",USD 0.0050,10000,27/12/1996,New
01043,COSLIGHT TECH,Coslight Technology International Group Ltd.,光宇國際集團科技有限公司,Room 2501-2502COSCO Tower181-183 Queen's Road CentralHong Kong,Bermuda,"Manufacture and sale of sealed lead acid batteries and related accessories; lithium-ion batteries; nickel batteries; signal strength systems, electric and automation system, motor vehicle, pharmaceutical products and mining.",Industrials - Industrial Engineering - New Energy Materials (HSIC*),HKD,"399,734,000","1,000,000,000",HKD 0.1000,2000,17/11/1999,New
01044,HENGAN INT'L,Hengan International Group Co. Ltd.,恒安國際集團有限公司,Unit 2101D 21st FloorAdmiralty Centre Tower 118 Harcourt RoadHong Kong,Cayman Islands,"Manufacturing, distribution and sale of personal hygiene products, skin care and food and snacks products in the PRC.","Consumer Goods - Textiles, Clothing & Personal Care - Cosmetics & Personal Care (HSIC*)",HKD,"1,213,026,221","3,000,000,000",HKD 0.1000,500,8/12/1998,New
01045,APT SATELLITE,APT Satellite Holdings Ltd.,亞太衛星控股有限公司,22 Dai Kwai StreetTai Po Industrial EstateTai Po New TerritoriesHong Kong,Bermuda,"Maintenance, operation, provision of satellite transponder capacity and related services; satellite-based broadcasting and telecommunications services; and other service.",Telecommunications - Telecommunications - Satellite & Wireless Communication (HSIC*),HKD,"932,710,500","2,000,000,000",HKD 0.1000,500,18/12/1996,New
01046,UNI INTL FIN,Universe International Financial Holdings Ltd.,寰宇國際金融控股有限公司,18/F Wyler Centre Phase II192-200 Tai Lin Pai RoadKwai ChungN.T. Hong Kong,Bermuda,"Film distribution & exhibition, licensing & sub-licensing of film rights, properties & securities investment, money lending, trade, wholesale & retail of optical, watch & jewellery products, securities brokerage & margin financing.",Consumer Services - Media & Entertainment - Movies & Entertainment (HSIC*),HKD,"177,774,092","10,000,000,000",HKD 0.0100,5000,20/7/1999,New
01047,NGAI HING HONG,Ngai Hing Hong Co. Ltd.,毅興行有限公司,Unit-3 6th FloorHopeful Factory Centre10 Wo Shing Street Fo TanNew Territories Hong Kong,Bermuda,"Manufacturing and trading of plastic materials, pigments, colorants, compounded plastic resins and engineering plastic products.",Materials - Basic Materials - Specialty Chemicals (HSIC*),HKD,"369,200,000","800,000,000",HKD 0.1000,2000,25/4/1994,New
01048,NOVO GROUP,Novo Group Ltd.,新源控股有限公司,"Room Nos. 1102-4 on 11/FEmpire Centre68 Mody RoadKowloon, Hong Kong",Singapore,"Trading and distribution of iron ore, coal and steel products; and manufacturing, sales and distribution of tinplate and related products for metal packaging industry.",Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"191,484,269",N/A,N/A,1000,6/12/2010,New
01049,CELESTIAL ASIA,Celestial Asia Securities Holdings Ltd.,時富投資集團有限公司,"28/F Manhattan Place23 Wang Tai RoadKowloon Bay, Hong Kong",Bermuda,Provision of mobile internet services and online game services; provision of financial services; sales of furniture and household items and electrical appliances; and investment holding.,Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"831,221,677","3,000,000,000",HKD 0.1000,6000,27/4/1994,New
01050,KARRIE INT'L,Karrie International Holdings Ltd.,嘉利國際控股有限公司,10th FloorSoutheast Industrial Building611-619 Castle Peak RoadTsuen Wan NT Hong Kong,Bermuda,"Metal and plastic business, electronic manufacturing services business, consumer and services business & real estate business.",Information Technology - IT Hardware - Computers & Peripherals (HSIC*),HKD,"1,996,195,200","4,000,000,000",HKD 0.1000,2000,16/12/1996,New
01051,G-RESOURCES,G-Resources Group Ltd.,國際資源集團有限公司,"Rooms 4501-02 & 4510, 45/FChina Resources Building26 Harbour RoadWanchai, Hong Kong",Bermuda,"Exploration and mining, sale of gold and silver products.",Materials - Gold & Precious Metals - Gold & Precious Metals (HSIC*),HKD,"27,048,844,786","60,000,000,000",HKD 0.0100,3000,29/4/1994,New
01052,YUEXIUTRANSPORT,Yuexiu Transport Infrastructure Ltd.,越秀交通基建有限公司,"23rd FloorYue Xiu Building160 Lockhart RoadWanchai, Hong Kong",Bermuda,"Investment in, operation and management of expressways and bridges in Guangdong Province and other high-growth provinces in the PRC.",Industrials - Industrial Transportation - Railway & Tollroad Operation (HSIC*),HKD,"1,673,162,295","2,000,000,000",HKD 0.1000,2000,30/1/1997,New
01053,CHONGQING IRON,Chongqing Iron & Steel Co. Ltd. - H Shares,重慶鋼鐵股份有限公司 - H股,"No 1 of Gangcheng Avenue	Economic & Tech Develop ZoneChangshou District, ChongqingPRC 401258",PRC,"Production, machining and sale of steel plates, steel sections, wire rods, bar materials, billets and thin plates; production and sale of coking and coal chemical products, pig iron & grain slag, steel slag, and steel scrap.","Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*)                     
				Materials (CSIC**)",HKD,"538,127,200",N/A,RMB 1.0000,2000,17/10/1997,New
01055,CHINA SOUTH AIR,China Southern Airlines Co. Ltd. - H Shares,中國南方航空股份有限公司 - H股,"Unit 301, 3/F, Office TowerGuanhao Science Park Phase I12 Yuyan St, Luogang DistrictGuangzhou, Guangdong Province",PRC,"Airline operations, aircraft maintenance and air catering operations.","Consumer Services - Transportation - Airlines (HSIC*)                     
				Industrials (CSIC**)",HKD,"2,794,917,000",N/A,RMB 1.0000,2000,31/7/1997,New
01057,ZHEJIANG SHIBAO,Zhejiang Shibao Co. Ltd. - H Shares,浙江世寶股份有限公司 - H股,1 Shuanglin RoadFotang Town YiwuZhejiang ProvincePRC,PRC,"Development, design, manufacture and sales of automotive steering gears and other key components and parts of steering system.",Consumer Goods - Automobiles - Auto Parts (HSIC*),HKD,"86,714,000",N/A,RMB 1.0000,2000,16/5/2006(Transferred from GEM on 9/3/2011),New
01058,GUANGDONG TANN,Guangdong Tannery Ltd.,粵海制革有限公司,29th FloorGuangdong Investment Tower148 Connaught Road CentralHong Kong,Hong Kong,Processing and sale of semi-finished and finished leather.,"Consumer Goods - Textiles, Clothing & Personal Care - Other Accessories (HSIC*)",HKD,"538,019,000",N/A,N/A,2000,16/12/1996,New
01059,KANTONE HOLDING,Kantone Holdings Ltd.,看通集團有限公司,5th Floor Kantone Centre1 Ning Foo StreetChaiwanHong Kong,Cayman Islands,"Sales of cultural products and sales of systems and licensing (including sales of systems products, software licensing and customisation, provision of services and leasing of systems products).",Information Technology - Software & Services - System Applications & IT Consulting (HSIC*),HKD,"986,537,533","1,200,000,000",HKD 1.0000,3000,23/1/1997,New
01060,ALI PICTURES,Alibaba Pictures Group Ltd.,阿里巴巴影業集團有限公司,"26/F Tower OneTimes Square1 Matheson StreetCauseway Bay, Hong Kong",Bermuda,Film and television drama series production and distribution.,Consumer Services - Media & Entertainment - Movies & Entertainment (HSIC*),HKD,"25,234,561,410","30,000,000,000",HKD 0.2500,10000,12/5/1994,New
01061,ESSEX BIO-TECH,Essex Bio-Technology Ltd.,億勝生物科技有限公司,Rm 2818 China Merchants TowerShun Tak Centre168-200 Connaught Road CentralHong Kong,Cayman Islands,"Investment holding, development, manufacture and selling of biopharmaceutical products in the PRC.",Consumer Goods - Healthcare - Pharmaceuticals (HSIC*),HKD,"559,541,000","1,000,000,000",HKD 0.1000,1000,27/6/2001(Transferred from GEM on 23/6/2011),New
01062,CDB INT'L INV,China Development Bank International Investment Ltd.,國開國際投資有限公司,"Suites 4506-4509Two International Finance CentNo 8 Finance StreetCentral, Hong Kong",Cayman Islands,Holding of securities and equity investments as a single business.,Financials - Other Financials - Investment & Asset Management (HSIC*),HKD,"2,902,215,360","12,000,000,000",HKD 0.0100,10000,10/5/1994,New
01063,SUNCORP TECH,Suncorp Technologies Ltd.,新確科技有限公司,"2/F, Shui On Centre6-8 Harbour RoadWanchaiHong Kong",Bermuda,"Design and sales of telephones and related products, processing and trading of used computer-related components.",Information Technology - IT Hardware - Telecommunication Equipment (HSIC*),HKD,"15,215,731,320","2,000,000,000,000",HKD 0.0003,10000,10/5/1994,New
01064,ZHONG HUA INT'L,Zhong Hua International Holdings Ltd.,中華國際控股有限公司,Suite 2911West Tower Shun Tak Centre168-200 Connaught RoadCentral Hong Kong,Bermuda,Property investment and development.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"605,616,520","4,000,000,000",HKD 0.0250,5000,13/10/1997,New
01065,TIANJIN CAPITAL,Tianjin Capital Environmental Protection Group Co. Ltd.-H Sh,天津創業環保集團股份有限公司 - H股,"No. 45 Guizhou RoadHeping DistrictTianjin, the PRC",PRC,"Processing of sewage water, construction and management of related facility, supply of tap water, recycled water and supply of heating and cooling and management of related facility.","Utilities - Utilities - Water (HSIC*)                     
				Industrials (CSIC**)",HKD,"340,000,000",N/A,RMB 1.0000,2000,17/5/1994,New
01066,WEIGAO GROUP,Shandong Weigao Group Medical Polymer Co. Ltd. - H Shares,山東威高集團醫用高分子製品股份有限公司 - H股,"18 Xingshan RoadWeihai TorchHi-tech Science ParkShandong Province, PRC",PRC,"Research and development, production and sale of single-use medical devices, orthopaedic products and blood purification products.",Consumer Goods - Healthcare - Medical Devices & Services (HSIC*),HKD,"1,883,732,324",N/A,RMB 0.1000,4000,27/2/2004(Transferred from GEM on 29/7/2010),New
01068,YURUN FOOD,China Yurun Food Group Ltd.,中國雨潤食品集團有限公司,"Room 4006, 40th FloorTower Two, Lippo Centre89 QueenswayHong Kong",Bermuda,"Slaughtering, production and sales of chilled and frozen meat and processed meat products.",Consumer Goods - Agricultural Products - Poultry & Meat (HSIC*),HKD,"1,822,755,650","3,000,000,000",HKD 0.1000,1000,3/10/2005,New
01069,CA LOW-CARBON,China Agroforestry Low-Carbon Holdings Ltd.,中國農林低碳控股有限公司,"Rooms 1002-1003, 10/FGreat Eagle Centre23 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Forestry management; sale, research and development of biomass fuel produced by biomass materials such as timber processing and forestry waste; and money lending.",Utilities - Utilities - Alternative/ Renewable Energy (HSIC*),HKD,"3,535,427,223","5,000,000,000",HKD 0.0020,20000,8/10/2009(Transferred from GEM on 16/5/2011),New
01070,TCL MULTIMEDIA,TCL Multimedia Technology Holdings Ltd.,TCL多媒體科技控股有限公司,13/F TCL Tower8 Tai Chung RoadTsuen WanNT Hong Kong,Cayman Islands,Manufacture and sale of colour television sets.,Consumer Goods - Household Goods & Electronics - Consumer Electronics (HSIC*),HKD,"1,736,438,944","2,200,000,000",HKD 1.0000,2000,26/11/1999,New
01071,HUADIAN POWER,Huadian Power International Corporation Ltd. - H Shares,華電國際電力股份有限公司 - H股,"No. 2 Xuanwumengnei StreetXicheng DistrictBeijing, the PRCPost Code: 100031",PRC,"Generation and sale of electricity and heat, sales of coal and other relevant businesses in the PRC.","Utilities - Utilities - Electricity (HSIC*)                     
				Utilities (CSIC**)",HKD,"1,717,233,600",N/A,RMB 1.0000,2000,30/6/1999,New
01072,DONGFANG ELEC,Dongfang Electric Corporation Ltd. - H Shares,東方電氣股份有限公司 - H股,"18 Xixin RoadHigh-Tech District(Western District)Chengdu, Sichuan Province, PRC",PRC,"Large-scale power generation equipment, engineering contracting and services.","Industrials - Industrial Engineering - Environmental Engineering (HSIC*)                     
				Industrials (CSIC**)",HKD,"340,000,000",N/A,RMB 1.0000,200,6/6/1994,New
01073,CHINA AGROTECH,China Agrotech Holdings Ltd.,浩倫農業科技集團有限公司,Room 2706 27th FloorChina Resources Building26 Harbour RoadWanchai Hong Kong,Cayman Islands,"Trading of fertilizers, pesticides, other agricultural & non-agricultural resources products; manufacture & sale of pesticides & fertilizers; provision of plant protection technical services, nursing,planting & sale of landscaping seedings.",Materials - Basic Materials - Fertilisers & Agricultural Chemicals (HSIC*),HKD,"1,001,765,216","3,000,000,000",HKD 0.1000,2000,14/1/2002,New
01075,CAPINFO,Capinfo Co. Ltd. - H Shares,首都信息發展股份有限公司 - H股,No 11 Xi San Huan Zhong RoadBeijing 100036PRC,PRC,"Provision of information technologies and services supply including system integration, software development, IT planning and consultancy, IT operation and maintenance, etc.",Information Technology - Software & Services - System Applications & IT Consulting (HSIC*),HKD,"774,498,000",N/A,RMB 0.1000,6000,21/12/2001(Transferred from GEM on 21/1/2011),New
01076,IMPERIAL PAC,Imperial Pacific International Holdings Ltd.,博華太平洋國際控股有限公司,"Suites 7001, 7002 & 7014-701670/F, Two Int'l Finance CentreNo 8 Finance StreetCentral, Hong Kong",Bermuda,Processing and trading of food products which mainly include frozen and functional food products; sharing of profit stream from gaming business in Macau; and development and operation of integrated resort on the Island of Saipan.,Consumer Goods - Food & Beverages - Packaged Foods (HSIC*),HKD,"140,651,474,345","300,000,000,000",HKD 0.0005,20000,11/2/2002,New
01079,PINE TECH,Pine Technology Holdings Ltd.,松景科技控股有限公司,"Unit 1201, 12/F148 Electric RoadNorth PointHong Kong",Bermuda,Manufacturing and sales of high-quality computer components and consumer electronic products.,Information Technology - IT Hardware - Computers & Peripherals (HSIC*),HKD,"921,584,783","2,000,000,000",HKD 0.1000,2000,26/11/1999(Transferred from GEM on 18/11/2010),New
01080,SHENGLI PIPE,Shengli Oil & Gas Pipe Holdings Ltd.,勝利油氣管道控股有限公司,"Room 2111, 21st FloorWing On Centre111 Connaught Road CentralHong Kong",Cayman Islands,"Manufacturing, processing and sale of welded steel pipes for oil and gas pipelines and other construction and manufacturing applications; equity investment, investment management, and investment consultation; trading of metal commodity.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"3,274,365,600","5,000,000,000",HKD 0.1000,1500,18/12/2009,New
01082,HK EDU INTL,Hong Kong Education (Int'l) Investments Ltd.,香港教育（國際）投資集團有限公司,"Block C, 17/F381 Sha Tsui RoadTsuen Wan, New TerritoriesHong Kong",Bermuda,"Provision of private educational services, investment in securities, property investments and money lending business.",Consumer Services - Support Services - Support Services (HSIC*),HKD,"456,314,880","6,000,000,000",HKD 0.0500,8000,4/7/2011,New
01083,TOWNGAS CHINA,Towngas China Co. Ltd.,港華燃氣有限公司,23rd Floor363 Java RoadNorth PointHong Kong,Cayman Islands,"Sales and distribution of piped gas, including provision of piped gas, construction of gas pipelines, operation of city gas pipeline network, the operation of gas fuel automobile refilling stations, and the sale of gas household appliances.",Utilities - Utilities - Gas Distribution (HSIC*),HKD,"2,711,601,763","5,000,000,000",HKD 0.1000,1000,8/12/2005,New
01085,HXTL,Hengxin Technology Ltd.,亨鑫科技有限公司,18th floorUnited Centre95 QueenswayHong Kong,Singapore,"Research, design, development and manufacture of telecommunications and technological products, production of radio frequency coaxial cables for mobile communications and mobile communications systems exchange equipment.",Information Technology - IT Hardware - Telecommunication Equipment (HSIC*),HKD,"388,000,000",N/A,N/A,2000,23/12/2010,New
01086,GOODBABY INTL,Goodbaby International Holdings Ltd.,好孩子國際控股有限公司,"Room 2001, 20th FloorTwo Chinachem Exchange Square338 King's RoadNorth Point, Hong Kong",Cayman Islands,"Design, research and development, manufacture, marketing and sale of strollers, children's car safety seats, cribs, bicycles and tricycles, and other durable juvenile products.",Consumer Goods - Household Goods & Electronics - Household Goods (HSIC*),HKD,"1,114,772,000","50,000,000,000",HKD 0.0100,1000,24/11/2010,New
01087,INVESTECH HLDGS,InvesTech Holdings Ltd.,威訊控股有限公司,"33rd Floor, Shui On Centre6-8 Harbour RoadWanchaiHong Kong",Cayman Islands,"Manufacture and sale of power cord cable and assembly, automotive wiring harness, telecommunications products and other products and the provision of services for the construction of base station for telecommunications networks.",Information Technology - IT Hardware - Telecommunication Equipment (HSIC*),HKD,"819,000,000","2,500,000,000",USD 0.0200,1000,16/11/2010,New
01088,CHINA SHENHUA,China Shenhua Energy Co. Ltd. - H Shares,中國神華能源股份有限公司 - H股,"22 Andingmen Xibinhe RoadDongcheng District, BeijingPRC 100011",PRC,"Production and sale of coal and power, the railway, port and fleet transportation of coal and business such as coal-to-olefins.","Energy - Coal - Coal (HSIC*)                     
				Energy (CSIC**)",HKD,"3,398,582,500",N/A,RMB 1.0000,500,15/6/2005,New
01089,LEYOU TECH H,Leyou Technologies Holdings Ltd.,樂遊科技控股有限公司,"Suite 1020-22, 10th FloorTwo Pacific Place88 QueenswayHong Kong",Cayman Islands,"Trading and manufacturing of chicken meat products, animal feeds and chicken breeds.",Consumer Goods - Agricultural Products - Poultry & Meat (HSIC*),HKD,"2,868,480,000","4,000,000,000",HKD 0.1000,5000,11/1/2011,New
01090,DA MING INT'L,Da Ming International Holdings Ltd.,大明國際控股有限公司,"Unit 1007, Central Plaza18 Harbour RoadWanchaiHong Kong",Cayman Islands,"Processing, distribution and sale of stainless steel products and carbon steel products.",Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"1,141,250,000","1,500,000,000",HKD 0.1000,2000,1/12/2010,New
01091,CITIC DAMENG,CITIC Dameng Holdings Ltd.,中信大錳控股有限公司,23rd Floor28 Hennessy RoadWanchaiHong Kong,Bermuda,"Manganese mining, ore processing and downstream processing operations in Mainland China, as well as manganese mining and ore operations in Gabon.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"3,428,459,000","10,000,000,000",HKD 0.1000,1000,18/11/2010,New
01093,CSPC PHARMA,CSPC Pharmaceutical Group Ltd.,石藥集團有限公司,"Suite 3206, 32/FCentral Plaza18 Harbour RoadWan Chai, Hong Kong",Hong Kong,Manufacture and sale of pharmaceutical products.,Consumer Goods - Healthcare - Pharmaceuticals (HSIC*),HKD,"5,911,018,403",N/A,N/A,2000,21/6/1994,New
01094,C P PROCUREMENT,China Public Procurement Ltd.,中國公共採購有限公司,"Unit 1802, 18/FNo 88 Gloucester RoadWanchaiHong Kong",Bermuda,"Bulk commodity trading, Energy Management Contracting (EMC), development and operation of electronic public procurement platforms; and provision of procurement information and other added value services.",Information Technology - Software & Services - E-Commerce & Internet Services (HSIC*),HKD,"13,429,312,548","20,000,000,000",HKD 0.0100,4000,3/7/2002,New
01096,SINO ENERGY INT,Sino Energy International Holdings Group Ltd.,中能國際控股集團有限公司,"Room 3509, Floor 35Shun Tak Centre West Tower168-200 Connaught Road CentralSheung Wan, Hong Kong",Cayman Islands,"Manufacturing and sales of casual footwear, apparel and related accessories in the PRC.","Consumer Goods - Textiles, Clothing & Personal Care - Footwear (HSIC*)",HKD,"1,606,498,422","10,000,000,000",HKD 0.1000,2000,28/9/2011,New
01097,I-CABLE COMM,i-CABLE Communications Ltd.,有線寬頻通訊有限公司,16th FloorOcean CentreHarbour City Canton RoadKowloon Hong Kong,Hong Kong,"Provision of Pay-TV program services, Internet services and interactive multimedia services.",Consumer Services - Media & Entertainment - Broadcasting (HSIC*),HKD,"2,011,512,400",N/A,N/A,1000,24/11/1999,New
01098,ROAD KING INFRA,Road King Infrastructure Ltd.,路勁基建有限公司,Suite 501 5/FTower 6 The Gateway9 Canton Road TsimshatsuiKowloon Hong Kong,Bermuda,"Development, operation and management of toll roads through the infrastructure joint ventures and operation of property development and investment business.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"739,936,566","20,000,000,000",HKD 0.1000,1000,4/7/1996,New
01099,SINOPHARM,Sinopharm Group Co. Ltd. - H Shares,國藥控股股份有限公司 - H股,6th FloorNo 221 Fuzhou RoadShanghai 200002China,PRC,"Distribution of medicines, medical device & pharmaceutical products; operation of pharmaceutical chain stores, distribution of laboratory supplies; manufacture & distribution of chemical reagents; production & sale of related products.",Consumer Goods - Healthcare - Pharmaceuticals (HSIC*),HKD,"1,192,810,740",N/A,RMB 1.0000,400,23/9/2009,New
01100,MAINLAND HOLD,Mainland Headwear Holdings Ltd.,飛達帽業控股有限公司,"Rooms 1001-1005, 10th FloorTower 2, Enterprise Square I9 Sheung Yuet RoadKowloon Bay, Kowloon, HK",Bermuda,"Manufacturing, trading and retailing of headwear products, and retailing of licensed products.","Consumer Goods - Textiles, Clothing & Personal Care - Other Accessories (HSIC*)",HKD,"398,583,284","1,000,000,000",HKD 0.1000,2000,13/12/2000,New
01101,HUARONG ENERGY,China Huarong Energy Co. Ltd.,中國華榮能源股份有限公司,"Unit 1201, Level 12International Commerce Centre1 Austin Road WestKowloon, Hong Kong",Cayman Islands,"Shipbuilding, marine engine building, offshore engineering, engineering machinery and energy exploration and production focusing on oil and gas related customers and markets.",Industrials - Industrial Engineering - Commercial Vehicles & Trucks (HSIC*),HKD,"2,171,591,507","60,000,000,000",HKD 0.5000,2000,19/11/2010,New
01102,ENVIRO ENERGY,Enviro Energy International Holdings Ltd.,環能國際控股有限公司,"Suite 1502, 15th FloorGreat Eagle Centre23 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Investment holding, property investment, natural resources and energy and information technology related businesses.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"7,052,611,552","20,000,000,000",HKD 0.0025,2000,6/6/2007(Transferred from GEM on 17/12/2010),New
01103,DASHENG AGR FIN,"Shanghai Dasheng Agriculture Finance Technology Co, Ltd-H Sh",上海大生農業金融科技股份有限公司 - H股,706 Renhe Building2056 Pudong RoadPudong New Area ShanghaiPRC 200135,PRC,"Road and bridge construction business, petrochemical products supply chain services and agricultural financial business.",Energy - Oil & Gas - Oil & Gas Producers (HSIC*),HKD,"3,522,719,875",N/A,RMB 0.1000,8000,13/7/2005(Transferred from GEM on 16/7/2012),New
01104,APAC RESOURCES,APAC Resources Ltd.,亞太資源有限公司,32th FloorChina Online Centre333 Lockhart RoadWanchai Hong Kong,Bermuda,Trading of commodities; and trading of and investment in listed and unlisted securities.,Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"9,191,651,985","20,000,000,000",HKD 0.1000,20000,29/12/1998,New
01105,SING TAO,Sing Tao News Corporation Ltd.,星島新聞集團有限公司,3/F Sing Tao News Corp Bldg3 Tung Wong RoadShau Kei WanHong Kong,Bermuda,Media; property holding; trading of consumer products and licensing of a distribution right; and investment holding.,Consumer Services - Media & Entertainment - Publishing (HSIC*),HKD,"866,106,337","3,000,000,000",HKD 0.2000,2000,10/7/1996,New
01106,SINO HAIJING,Sino Haijing Holdings Ltd.,中國海景控股有限公司,"Suites 3701-1037th Floor, Jardine House1 Connaught PlaceCentral, Hong Kong",Cayman Islands,Manufacture and sale of packaging materials.,Industrials - Commercial & Professional Services - Printing & Packaging (HSIC*),HKD,"3,589,901,240","30,000,000,000",HKD 0.0125,20000,25/6/2003(Transferred from GEM on 12/5/2011),New
01107,MODERN LAND,"Modern Land (China) Co., Ltd.",當代置業(中國)有限公司,"505 ICBC TowerCitibank Plaza3 Garden RoadCentral, Hong Kong",Cayman Islands,"Real estate development, property investment, hotel operation, project management, real estate agency services and immigration services in the PRC and the United States.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,082,385,000","3,000,000,000",USD 0.0100,2000,12/7/2013,New
01108,LUOYANG GLASS,Luoyang Glass Co. Ltd. - H Shares,洛陽玻璃股份有限公司 - H股,"No.9 Tang Gong Zhong LuXigong DistrictLuoyang MunicipalHenan Province, PRC",PRC,"Manufacturing of glass and relevant sophisticated processing goods, mechanical equipment, electric appliances and accessories, sale of self-produced products, provision of technical consultancy and technical services.","Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*)                     
				Materials (CSIC**)",HKD,"250,000,000",N/A,RMB 1.0000,2000,8/7/1994,New
01109,CHINA RES LAND,China Resources Land Ltd.,華潤置地有限公司,"46th FloorChina Resources Building26 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Development and sales of developed properties, property investments and management, hotel operations and the provision of construction, decoration and other property development related services.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"6,930,939,579","8,000,000,000",HKD 0.1000,2000,8/11/1996,New
01110,KINGWORLD,Kingworld Medicines Group Ltd.,金活醫藥集團有限公司,"Units 1906-190719th Floor, Shui On Centre6-8 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Distribution sale of branded imported pharmaceutical and healthcare products, manufacturing and sales of electrotherapeutic and physiotherapeutic devices and general medical examination devices in the PRC and Hong Kong.",Consumer Goods - Healthcare - Pharmaceuticals (HSIC*),HKD,"622,500,000","10,000,000,000",HKD 0.1000,4000,25/11/2010,New
01111,CHONG HING BANK,Chong Hing Bank Ltd.,創興銀行有限公司,Ground FloorChong Hing Bank Centre24 Des Voeux Road CentralHong Kong,Hong Kong,Provision of banking and related financial services.,Financials - Banks - Banks (HSIC*),HKD,"652,500,000",N/A,N/A,1000,11/7/1994,New
01112,BIOSTIME,Biostime International Holdings Ltd.,合生元國際控股有限公司,"Unit No 3508, 35th FloorWest Tower, Shun Tak Centre200 Connaught Road CentralHong Kong",Cayman Islands,Manufacture and sale of premium pediatric nutritional and baby care products and adult nutrition supplements and skincare products.,Consumer Goods - Food & Beverages - Packaged Foods (HSIC*),HKD,"630,390,266","10,000,000,000",HKD 0.0100,500,17/12/2010,New
01113,CK PROPERTY,Cheung Kong Property Holdings Ltd.,長江實業地產有限公司,7th FloorCheung Kong Center2 Queen's Road CentralHong Kong,Cayman Islands,"Property development and investment, hotel and serviced suite operation and property and project management.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"3,845,498,000","8,000,000,000",HKD 1.0000,500,3/6/2015,New
01114,BRILLIANCE CHI,Brilliance China Automotive Holdings Ltd.,華晨中國汽車控股有限公司,Suites 1602-05Chater House8 Connaught Road CentralHong Kong,Bermuda,"Manufacture and sale of BMW vehicles in the PRC, manufacture and sale of minibuses and automotive components.",Consumer Goods - Automobiles - Automobiles (HSIC*),HKD,"5,037,469,388","8,000,000,000",USD 0.0100,2000,22/10/1999,New
01115,TIBET WATER,Tibet Water Resources Ltd.,西藏水資源有限公司,"Room 3401, 34/FChina Resources BuildingNo 26 Harbour RoadWanchai Hong Kong",Cayman Islands,Production and sales of premium bottled mineral water product and highland barley beer product in the PRC.,Consumer Goods - Food & Beverages - Non-alcoholic Beverages (HSIC*),HKD,"2,568,893,000","100,000,000,000",HKD 0.0100,1000,30/6/2011,New
01116,MAYER HOLDINGS,Mayer Holdings Ltd.,美亞控股有限公司,10th FloorNo. 88 Lockhart RoadWan ChaiHong Kong,Cayman Islands,"Manufacturing and trading of steel pipes, steel sheets and other products made of steel and leasing of aircrafts.",Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"927,563,636","2,000,000,000",HKD 0.1000,4000,21/6/2004,New
01117,CH MODERN D,China Modern Dairy Holdings Ltd.,中國現代牧業控股有限公司,"Unit 2402, 24/F, Alliance Buil130-136 Connaught Road CentralSheung WanHong Kong",Cayman Islands,Production and sale of raw milk to customers for processing into dairy products; and production and sale of liquid milk products.,Consumer Goods - Food & Beverages - Dairy Products (HSIC*),HKD,"5,304,767,883","10,000,000,000",HKD 0.1000,1000,26/11/2010,New
01118,GOLIK HOLDINGS,Golik Holdings Ltd.,高力集團有限公司,"Suite 6505, Central Plaza18 Harbour RoadWanchaiHong Kong",Bermuda,Manufacturing and sales of metal products and building construction materials.,Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"561,922,500","1,800,000,000",HKD 0.1000,10000,15/7/1994,New
01120,ARTS OPTICAL,Arts Optical International Holdings Ltd.,雅視光學集團有限公司,Unit 308 3/F Sunbeam Centre27 Shing Yip StreetKwun TongKowloon Hong Kong,Bermuda,Manufacture of and trading in prescription frames and sunglasses as well as property holding.,"Consumer Goods - Textiles, Clothing & Personal Care - Other Accessories (HSIC*)",HKD,"383,650,000","1,000,000,000",HKD 0.1000,2000,8/11/1996,New
